OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
122577,"October 4, 2016",Partially Verified,Horn of Africa,10,,Ethiopia,Horn of Africa,,"Bodies recovered from a boat near Obock, Djibouti",,,,,IOm Djibouti,,,,Unknown,,4820038.27168982,1340090.39944589,
122578,"September 29, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12496296.472349,3748068.79153691,
122579,"October 5, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12480397.570424,3756629.73879802,
122580,"October 9, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12499353.9534457,3736450.36322919,
122581,"October 11, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12476728.593108,3733392.88217244,
122582,"October 13, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12460218.1949636,3746845.79919174,
122583,"October 13, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",1,,,55,Pima County Office of the Medical Examiner,,,,Unknown,,-12467556.1497068,3735838.86701641,
122584,"October 13, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown,,-12480397.570424,3753572.2575932,
122585,"October 13, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown,,-12485289.5402899,3752349.26513219,
122586,"October 18, 2016",Verified,U.S./Mexico Border,1,,Guatemala,Central America & Mexico,,"Pima County, Arizona, USA",1,,,30,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12460218.1949636,3729723.90478362,
122587,"October 23, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12488347.0213865,3758464.22737462,
122588,"October 24, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12529317.2685265,3740119.34068735,
122589,"October 25, 2016",Partially Verified,Mediterranean,6,4,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,4,,2,,UNHCR,,,,Unknown,,1804362.74062587,4272887.40890868,
122977,"October 12, 2016",Partially Verified,U.S./Mexico Border,1,,El Salvador,Central America & Mexico,,"KM 118 of the Highway between Guerrero-Hidalgo, Coahuila, Mexico",1,,,19,Zocalo,http://www.zocalo.com.mx/seccion/articulo/localizan-a-migrante-muerta-1471076474,,,Dehydration,,-11159548.8429497,3271962.51851011,
122978,"October 22, 2016",Partially Verified,U.S./Mexico Border,1,,Mexico,Central America & Mexico,,"Río Bravo, Las Dos Cruces Farm in Presidentes Colony, Piedras Negras, Mexico",,1,,26,Hoy Tamaulipas,http://bit.ly/2evKvuV,,,Drowning,,-11191928.855529,3348508.74074261,
122979,"November 3, 2016",Partially Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Died upon arrival to Port of Karlovasi, Samos, Greece. Shipwreck occurred at unspecified location between Turkey and Samos.",,1,,,IOM Greece,http://www.hcg.gr/node/13815,,,Drowning,,2971237.82928409,4550634.90899918,
